dataset,solver,m,pca_dim,label_per_class,mean_acc,var_acc,time_s
cifar10,gd,2,100,5,0.5031,0.000800,2100.0
cifar10,gd,2,100,10,0.5674,0.000700,2225.5
cifar10,gd,2,100,20,0.5654,0.000600,2389.7
cifar10,gd,2,100,5,0.0956,0.000500,5046.5
cifar10,gd,2,100,10,0.0976,0.000493,5734.1
